Date,Index,DJIA
2013-03-06,136.541558,135.074585
2013-03-07,137.515345,135.388739
2013-03-08,137.622157,136.027253
2013-03-11,138.053983,136.501744
2013-03-12,136.9293,136.527916
2013-03-13,136.745206,136.577236
2013-03-14,137.149483,137.369567
2013-03-15,137.896818,137.133077
2013-03-18,137.976923,136.546812
2013-03-19,137.072862,136.582338
2013-03-20,137.604309,137.11059
2013-03-21,136.854223,136.257979
2013-03-22,138.991595,137.113424
2013-03-25,138.271809,136.50609
2013-03-26,138.765702,137.563351
2013-03-27,138.343311,137.246928
2013-03-28,137.729661,137.741828
2013-04-01,135.336524,137.688068
2013-04-02,136.102162,138.530474
2013-04-03,134.917496,137.475482
2013-04-04,134.871998,138.002317
2013-04-05,133.783136,137.616261
2013-04-08,134.810327,138.07195
2013-04-09,135.919217,138.638657
